dia,realizada,garch,bnn
304,1.2636999227106571,1.5780699066817763,1.416339445859194
305,1.2724031135439873,1.556096114218235,1.4210524410009384
306,1.2742388248443604,1.535658910870552,1.4124671928584576
307,1.2706357799470425,1.516091302037239,1.4046565257012846
308,1.5387427061796188,1.4977150969207287,1.4053387939929962
309,1.4391515962779522,1.5065371245145798,1.4028308168053627
310,1.3752191700041292,1.5070375427603722,1.380987148731947
311,1.3276871293783188,1.503433920443058,1.3908286392688751
312,1.3683926314115524,1.497335098683834,1.4076543785631657
313,1.1027096211910248,1.493980213999748,1.402479447424412
314,1.1396065168082714,1.4651421830058098,1.3874075002968314
315,1.1397682130336761,1.4410607889294624,1.3993481360375881
316,1.1446021310985088,1.418667584657669,1.3963765650987625
317,1.0926645621657374,1.3978135958313942,1.4138098061084747
318,1.0965140722692013,1.3754056580364704,1.3975422456860542
319,1.108547132462263,1.3546406850218773,1.3895698077976704
320,1.1207593977451324,1.3367151468992233,1.3720433413982391
321,1.1357565596699715,1.3212972693145273,1.3506120070815086
322,1.1345309391617775,1.308142803609371,1.3144848123192787
323,1.1757654137909412,1.295432336628437,1.3201632536947727
324,1.216658130288124,1.2877270020544527,1.3172665983438492
325,1.2319083884358408,1.2847352772951126,1.3074351847171783
326,1.201607584953308,1.2825638242065907,1.2982541881501675
327,1.1901368014514446,1.2785901129245758,1.281250286847353
328,1.1584530025720596,1.2744332104921343,1.2799013406038287
329,1.0665883123874664,1.2672180496156216,1.2784357368946075
330,1.147425975650549,1.2530934065580368,1.2713800743222237
331,1.3896718807518482,1.249230280518532,1.2663210928440094
332,1.3972716405987742,1.2712733261287212,1.2683923915028574
333,1.4825273677706718,1.2922677397727966,1.273693423718214
334,1.4785625599324705,1.318541094660759,1.2715459056198597
335,1.3711335696280003,1.3418414443731308,1.280823815613985
336,1.1299757100641727,1.3524488918483257,1.290508434176445
337,1.201744880527258,1.3368383981287482,1.2933886609971523
338,1.1014088802039623,1.3277423381805422,1.2790549732744694
339,1.107149664312601,1.3115060143172743,1.2807520851492882
340,1.1198453046381474,1.2969287112355232,1.276051215827465
341,1.1822310090065002,1.284236628562212,1.2725654430687428
342,1.1109746247529984,1.2771012634038925,1.2679597921669485
343,1.181235630065203,1.2652823515236378,1.2562758475542068
344,1.1714561469852924,1.2598481588065624,1.2546432204544544
345,1.1579794995486736,1.2546417862176895,1.2496542558073997
346,1.1166524328291416,1.249167285859585,1.253059208393097
347,1.108914464712143,1.2414609640836718,1.251061074435711
348,1.0865640826523306,1.233680583536625,1.2591669522225857
349,1.1066382564604282,1.2246424891054632,1.253239419311285
350,1.1977044492959978,1.2173699587583544,1.2533001601696017
351,1.180824227631092,1.2182152271270754,1.248610857874155
352,1.1793970689177513,1.2171443738043308,1.2476225011050701
353,1.2218276783823967,1.2160167284309864,1.2447774223983288
354,1.2365122139453888,1.2204933539032936,1.249216664582491
355,1.2024613097310066,1.2267510779201984,1.2555459886789322
356,1.1975652910768986,1.2291295826435091,1.256859861314297
357,1.2239235825836658,1.2311808206140995,1.2586634233593943
358,1.1423488892614841,1.2347034737467768,1.2624787539243698
359,1.1795395612716677,1.2293565645813942,1.263511199504137
360,1.2502004392445087,1.2283449433743954,1.2566974572837353
361,1.2501070275902748,1.2345422804355621,1.2557272426784039
362,1.2294485419988632,1.2401328422129154,1.249832883477211
363,1.2309230864048006,1.2438036315143108,1.2471058964729311
364,1.2271368317306042,1.2472744658589365,1.2484236806631088
365,1.1882256716489792,1.2499618344008925,1.2472627498209476
366,1.4252636767923832,1.2496447935700417,1.2460219487547874
367,1.419911775738001,1.276493314653635,1.2462803348898888
368,1.4739170484244826,1.3011834397912025,1.2834323570132256
369,1.5640906803309917,1.3279247470200062,1.2850969098508358
370,1.5340096689760685,1.3599054515361786,1.2998062744736671
