dia,epistemica,aleatoria
5767,0.0010115674,0.0109399455
5768,0.00067334727,0.009378274
5769,0.0007390941,0.009552592
5770,0.00068323495,0.009958175
5771,0.0006568258,0.0102079855
5772,0.0008680748,0.010507465
5773,0.00072075584,0.010126169
5774,0.00071596535,0.009625872
5775,0.00057725783,0.010024198
5776,0.00071527355,0.010026125
5777,0.0006090458,0.010073197
5778,0.0006386069,0.00959446
5779,0.00079453684,0.009873465
5780,0.00061722466,0.009904777
5781,0.00061451545,0.009245903
5782,0.0006250872,0.009842295
5783,0.0005918604,0.009251693
5784,0.00058848865,0.009679522
5785,0.00060536986,0.009412695
5786,0.0006046293,0.009487717
5787,0.0005880409,0.009404415
5788,0.00057867524,0.0093034785
5789,0.0006375386,0.009538161
5790,0.000618756,0.009187277
5791,0.0006462459,0.0092787985
5792,0.00060036697,0.009000659
5793,0.0006544712,0.009027028
5794,0.00060060364,0.008753601
5795,0.0006134993,0.008696236
5796,0.0005718565,0.0085191745
5797,0.0005590873,0.0083572455
5798,0.0005896586,0.008479373
5799,0.00061186956,0.008472188
5800,0.00061552646,0.008301853
5801,0.00059822976,0.0081777
5802,0.00058170274,0.008170416
5803,0.00061910256,0.008243193
5804,0.0006242423,0.008300661
5805,0.00059303106,0.008372385
5806,0.000573555,0.0080152815
5807,0.00060987315,0.008237514
5808,0.00061369594,0.008467265
5809,0.0006159922,0.008617558
5810,0.0006094129,0.008429486
5811,0.00058346614,0.008423739
5812,0.0006073804,0.008441083
5813,0.0006188723,0.008728551
5814,0.00058834825,0.008545342
5815,0.0006035078,0.008482998
5816,0.0005780723,0.0084364135
5817,0.00059667224,0.008700888
5818,0.00062699744,0.008505841
5819,0.0005939662,0.008622362
5820,0.0005730696,0.008446166
5821,0.000598986,0.008700953
5822,0.0005780023,0.008576235
5823,0.0005751872,0.008650122
5824,0.00058933586,0.008423821
5825,0.00054797746,0.008602105
5826,0.00054750254,0.008433256
5827,0.00057293015,0.0085583255
5828,0.00056379125,0.008660355
5829,0.0005442793,0.008715155
5830,0.00055230735,0.008760987
5831,0.00053343544,0.008568488
5832,0.000560685,0.008755043
5833,0.0005371658,0.008642944
5834,0.0005258025,0.008912489
5835,0.0005368531,0.00865784
5836,0.0005596757,0.008670429
5837,0.000521585,0.0085436795
5838,0.000561424,0.008598718
5839,0.00055521325,0.008724911
5840,0.0005696778,0.00861757
5841,0.00060556794,0.00873634
5842,0.0005531604,0.008423291
5843,0.0007429298,0.009048592
5844,0.0005665168,0.008665868
5845,0.0006151969,0.009035358
5846,0.0006110005,0.009202162
5847,0.00061611255,0.0085785715
5848,0.00071770675,0.008942722
5849,0.0006397788,0.009367478
5850,0.00079452683,0.010218358
5851,0.0006854823,0.009718958
5852,0.00063805026,0.009622259
5853,0.00068679,0.009902054
5854,0.0006865206,0.009807071
5855,0.0006530212,0.009900666
5856,0.00056796696,0.010135715
5857,0.0006203958,0.009346865
5858,0.00061424955,0.009570319
5859,0.00070306886,0.009526186
5860,0.0006019787,0.009350344
5861,0.0006291131,0.009583166
5862,0.001666229,0.012976847
5863,0.0016669071,0.013020453
5864,0.0016205262,0.012634227
5865,0.003378321,0.017736308
5866,0.0027539113,0.016719483
5867,0.003675143,0.017963586
5868,0.0055824714,0.026435493
5869,0.0035694116,0.018707104
5870,0.008076201,0.03464093
5871,0.0064499686,0.02604262
5872,0.024581907,0.07228256
5873,0.012754354,0.046412893
5874,0.016851569,0.050083373
5875,0.037186984,0.10006734
5876,0.07460247,0.16434182
5877,0.048991658,0.11810311
5878,0.07391533,0.17222825
5879,0.033649016,0.07467942
5880,0.043146484,0.09302729
5881,0.059064206,0.13984264
5882,0.027544826,0.07192327
5883,0.028912727,0.067590974
5884,0.015757807,0.04202137
5885,0.02466493,0.05169756
5886,0.026866006,0.053771783
5887,0.019593868,0.05226456
5888,0.01943426,0.053368196
5889,0.016889125,0.046171732
5890,0.0279634,0.06275062
